"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"0050","元大台灣50","3,613,199","1,795","298,033,251","82.15","82.60","82.15","82.60","+","0.45","82.55","212","82.60","123","0.00",
"0051","元大中型100","9,100","8","287,540","31.70","31.70","31.31","31.67"," ","0.00","31.60","100","31.67","9","0.00",
"0052","富邦科技","3,150","5","168,550","53.55","53.55","53.50","53.50","+","0.65","53.50","1","53.65","10","0.00",
"0053","元大電子","11,100","11","392,110","35.29","35.36","35.25","35.36","+","0.03","35.39","100","35.71","8","0.00",
"0054","元大台商50","2,000","2","47,940","23.97","23.97","23.97","23.97","+","0.02","23.93","100","23.97","2","0.00",
"0055","元大MSCI金融","65,000","21","1,059,920","16.20","16.35","16.20","16.35","+","0.09","16.33","50","16.35","4","0.00",
"0056","元大高股息","1,868,451","733","46,856,990","25.00","25.14","25.00","25.13","+","0.13","25.13","4","25.14","49","0.00",
"0057","富邦摩台","0","0","0","--","--","--","--"," ","0.00","49.30","1","49.53","20","0.00",
"0058","富邦發達","0","0","0","--","--","--","--"," ","0.00","46.31","1","46.43","10","0.00",
"0059","富邦金融","6,000","6","241,040","40.15","40.20","40.15","40.20","X","0.00","40.13","1","40.30","1","0.00",
"0061","元大寶滬深","2,242,827","432","43,257,074","19.19","19.40","19.12","19.36","+","0.27","19.36","96","19.37","20","0.00",
"006203","元大MSCI台灣","2,000","2","75,790","37.88","37.91","37.88","37.91","-","0.19","37.99","50","38.28","2","0.00",
"006204","永豐臺灣加權","38,187","10","2,024,117","53.05","53.20","52.95","53.20","+","0.25","53.10","20","53.20","1","0.00",
"006205","富邦上証","3,780,995","589","122,603,448","32.10","32.55","32.10","32.55","+","0.53","32.53","5","32.55","43","0.00",
"006206","元大上證50","1,953,400","396","64,006,080","32.40","32.88","32.40","32.88","+","0.48","32.87","9","32.88","30","0.00",
"006207","FH滬深","711,372","190","17,529,305","24.37","24.70","24.37","24.70","+","0.38","24.69","54","24.70","48","0.00",
"006208","富邦台50","4,380","10","204,587","46.70","46.73","46.70","46.73","+","0.07","46.73","1","46.99","2","0.00",
"00625K","富邦上証+R","50,000","2","358,000","7.16","7.16","7.16","7.16","+","0.13","7.15","50","7.25","20","0.00",
"00631L","元大台灣50正2","1,517,070","431","53,416,120","34.93","35.37","34.93","35.37","+","0.40","35.37","59","35.38","3","0.00",
"00632R","元大台灣50反1","25,033,197","3,636","329,626,216","13.20","13.22","13.13","13.13","-","0.06","13.13","298","13.14","2,515","0.00",
"00633L","富邦上証正2","29,348,500","7,932","1,509,690,650","50.35","51.85","50.30","51.85","+","1.80","51.80","112","51.85","147","0.00",
"00634R","富邦上証反1","1,374,000","282","9,497,630","6.97","6.99","6.87","6.88","-","0.12","6.87","5","6.88","7","0.00",
"00635U","元大S&P黃金","1,129,849","279","22,824,638","20.21","20.22","20.18","20.21","+","0.14","20.20","524","20.21","11","0.00",
"00636","國泰中國A50","8,048,601","1,564","173,143,421","21.23","21.60","21.23","21.60","+","0.39","21.59","22","21.60","20","0.00",
"00636K","國泰中國A50+U","160,500","5","1,170,050","7.30","7.30","7.29","7.29","+","0.17","7.28","201","7.31","200","0.00",
"00637L","元大滬深300正2","101,464,508","11,696","1,977,727,537","19.07","19.69","19.06","19.69","+","0.72","19.68","1,330","19.69","1,824","0.00",
"00638R","元大滬深300反1","169,000","29","2,362,950","14.05","14.05","13.89","13.90","-","0.22","13.89","10","13.90","77","0.00",
"00639","富邦深100","2,525,388","528","29,463,158","11.57","11.72","11.57","11.72","+","0.19","11.71","88","11.72","10","0.00",
"00640L","富邦日本正2","563,000","64","14,524,170","25.76","25.86","25.71","25.82","+","0.06","25.82","2","25.85","1","0.00",
"00641R","富邦日本反1","160,000","31","2,299,140","14.35","14.40","14.35","14.36","-","0.05","14.36","7","14.38","48","0.00",
"00642U","元大S&P石油","1,751,898","494","32,208,342","18.30","18.45","18.30","18.42","+","0.11","18.40","2","18.42","36","0.00",
"00643","群益深証中小","700,973","192","11,076,821","15.69","15.86","15.69","15.86","+","0.23","15.85","1","15.86","24","0.00",
"00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.43","20","3.51","20","0.00",
"00645","富邦日本","78,357","13","1,802,337","23.00","23.03","22.95","22.95","+","0.01","22.91","30","23.13","51","0.00",
"00646","元大S&P500","47,000","34","1,115,450","23.89","23.89","23.63","23.69","-","0.20","23.69","1","23.83","30","0.00",
"00647L","元大S&P500正2","21,000","15","659,520","31.58","31.58","31.37","31.37","-","0.32","31.35","50","31.41","1","0.00",
"00648R","元大S&P500反1","1,157,000","125","16,156,340","13.95","13.98","13.94","13.95","+","0.02","13.95","41","13.96","10","0.00",
"00649","FH香港","61,000","14","1,320,220","21.45","21.72","21.45","21.72","+","0.35","21.71","6","21.77","21","0.00",
"00650L","FH香港正2","784,000","133","28,523,240","35.59","36.70","35.59","36.65","+","1.15","36.61","20","36.66","9","0.00",
"00651R","FH香港反1","335,000","77","2,836,000","8.55","8.55","8.42","8.44","-","0.12","8.44","10","8.45","22","0.00",
"00652","富邦印度","24,315","21","561,435","23.18","23.18","23.01","23.04","-","0.15","23.05","1","23.12","23","0.00",
"00653L","富邦印度正2","529,000","197","15,225,630","28.90","29.00","28.59","28.69","-","0.40","28.69","57","28.78","32","0.00",
"00654R","富邦印度反1","54,000","14","813,660","15.00","15.10","15.00","15.05","+","0.06","15.07","10","15.09","30","0.00",
"00655L","國泰中國A50正2","12,938,678","3,588","491,333,725","37.08","38.24","37.05","38.24","+","1.34","38.23","179","38.24","7","0.00",
"00656R","國泰中國A50反1","65,000","24","833,480","12.95","12.95","12.78","12.78","-","0.22","12.77","1","12.78","81","0.00",
"00657","國泰日經225","253,000","20","6,899,380","27.30","27.30","27.27","27.30","+","0.05","27.24","72","27.36","50","0.00",
"00657K","國泰日經225+U","160,000","4","1,475,200","9.22","9.22","9.22","9.22","+","0.05","9.19","110","9.25","110","0.00",
"00658L","國泰日本正2","70,000","9","2,640,030","37.79","37.86","37.57","37.70","+","0.08","37.68","25","37.69","10","0.00",
"00659R","國泰日本反1","23,000","7","293,990","12.80","12.84","12.76","12.83"," ","0.00","12.79","73","12.83","2","0.00",
"00660","元大歐洲50","77,000","26","1,912,830","24.89","24.89","24.80","24.81","-","0.11","24.79","1","24.81","5","0.00",
"00661","元大日經225","4,000","1","114,360","28.59","28.59","28.59","28.59","-","0.12","28.41","1","28.63","15","0.00",
"00662","富邦NASDAQ","117,228","14","3,067,698","26.29","26.29","26.15","26.16","-","0.15","26.15","1","26.20","15","0.00",
"00663L","國泰臺灣加權正2","1,023,000","67","33,725,290","32.77","33.13","32.77","33.13","+","0.41","33.13","82","33.16","100","0.00",
"00664R","國泰臺灣加權反1","1,525,000","310","22,705,320","14.93","14.94","14.86","14.86","-","0.09","14.85","63","14.86","68","0.00",
"00665L","富邦恒生國企正2","2,146,000","449","71,883,590","32.42","33.91","32.42","33.82","+","1.61","33.82","133","33.85","1","0.00",
"00666R","富邦恒生國企反1","159,000","38","2,118,910","13.57","13.57","13.29","13.30","-","0.36","13.30","3","13.31","10","0.00",
"00667","元大韓國","0","0","0","--","--","--","--"," ","0.00","24.02","1","24.29","1","0.00",
"00668","國泰美國道瓊","121,000","15","3,098,490","25.61","25.63","25.60","25.61","-","0.08","25.61","2","25.64","30","0.00",
"00668K","國泰美國道瓊+U","160,000","4","1,382,400","8.64","8.64","8.64","8.64","-","0.01","8.60","100","8.73","75","0.00",
"00669R","國泰美國道瓊反1","614,000","83","8,619,780","14.05","14.06","14.02","14.02","+","0.02","14.02","351","14.03","4","0.00",
"00670L","富邦NASDAQ正2","184,000","37","5,122,500","27.86","27.89","27.79","27.87","-","0.26","27.82","50","27.87","30","0.00",
"00671R","富邦NASDAQ反1","252,000","35","4,066,010","16.10","16.15","16.10","16.13","+","0.08","16.13","9","16.15","51","0.00",
"00672L","元大S&P原油正2","6,233,000","1,014","125,606,770","20.02","20.28","19.97","20.18","+","0.17","20.18","43","20.19","156","0.00",
"00673R","元大S&P原油反1","2,737,000","496","46,114,830","16.92","16.94","16.81","16.82","-","0.12","16.81","586","16.82","82","0.00",
"00674R","元大S&P黃金反1","158,000","35","3,009,250","19.05","19.07","19.04","19.04","-","0.16","19.03","2","19.04","68","0.00",
"00675L","富邦臺灣加權正2","1,214,140","173","17,325,552","14.20","14.35","14.20","14.35","+","0.18","14.35","552","14.36","3","0.00",
"00676R","富邦臺灣加權反1","3,765,000","372","30,397,870","8.10","8.11","8.06","8.06","-","0.05","8.05","869","8.06","185","0.00",
"00677U","富邦VIX","5,891,000","451","31,073,360","5.29","5.30","5.25","5.26","+","0.02","5.26","566","5.27","720","0.00",
"00678","群益NBI生技","144,000","32","3,053,700","21.25","21.25","21.18","21.19","-","0.16","21.18","9","21.19","1","0.00",
"00680L","元大美債20正2","0","0","0","--","--","--","--"," ","0.00","21.11","20","21.20","10","0.00",
"00681R","元大美債20反1","0","0","0","--","--","--","--"," ","0.00","18.20","20","18.32","20","0.00",
"00682U","元大美元指數","17,000","11","307,840","18.08","18.14","18.08","18.14","+","0.06","18.08","17","18.14","20","0.00",
"00683L","元大美元指數正2","977,000","219","16,236,430","16.62","16.64","16.60","16.63","-","0.09","16.62","3","16.63","211","0.00",
"00684R","元大美元指數反1","0","0","0","--","--","--","--"," ","0.00","21.17","100","21.36","1","0.00",
"00685L","群益臺灣加權正2","44,000","8","550,480","12.49","12.54","12.48","12.54","+","0.13","12.56","389","12.59","100","0.00",
"00686R","群益臺灣加權反1","667,000","47","5,856,780","8.82","8.82","8.77","8.77","-","0.07","8.76","208","8.77","448","0.00",
"00688L","國泰20年美債正2","202,000","3","4,328,840","21.42","21.43","21.42","21.43","+","0.04","21.42","18","21.45","21","0.00",
"00689R","國泰20年美債反1","200,000","2","3,724,000","18.62","18.62","18.62","18.62","-","0.07","18.59","20","18.66","37","0.00",
"00690","兆豐藍籌30","116,062","44","2,461,506","21.19","21.26","21.19","21.25","+","0.06","21.25","81","21.26","17","0.00",
"00691R","兆豐藍籌30反1","0","0","0","--","--","--","--"," ","0.00","17.56","30","17.62","30","0.00",
"00692","富邦公司治理","1,021,280","253","21,414,147","20.90","21.03","20.88","21.01","+","0.17","21.01","17","21.02","10","0.00",
"00693U","華頓S&P黃豆","225,000","68","4,352,140","19.23","19.38","19.23","19.38","+","0.18","19.37","7","19.38","28","0.00",
"00698L","元大美債7-10正2","0","0","0","--","--","--","--"," ","0.00","18.89","20","19.00","20","0.00",
"00699R","元大美債7-10反1","5,000","1","99,950","19.99","19.99","19.99","19.99","-","0.04","19.99","17","20.11","20","0.00",
"00700","富邦恒生國企","242,100","44","5,124,058","20.97","21.32","20.96","21.32","+","0.65","21.29","50","21.38","20","0.00",
"00701","國泰股利精選30","878,067","274","17,807,090","20.23","20.31","20.22","20.31","+","0.21","20.29","316","20.31","14","0.00",
"00702","國泰標普低波高息","32,000","18","664,710","20.78","20.79","20.75","20.78"," ","0.00","20.77","301","20.79","304","0.00",
"00703","台新MSCI中國","210,000","79","4,634,440","21.96","22.11","21.96","22.07","+","0.20","22.07","18","22.09","14","0.00",
"00704L","台新MSCI台灣正2","10,000","4","204,780","20.48","20.52","20.44","20.44","+","0.17","20.45","50","20.52","3","0.00",
"00705R","台新MSCI台灣反1","2,000","1","38,000","19.00","19.00","19.00","19.00","-","0.16","20.93","50","21.00","5","0.00",
"00706L","元大S&P日圓正2","24,000","10","449,640","18.73","18.76","18.73","18.73","+","0.01","18.72","5","18.75","150","0.00",
"00707R","元大S&P日圓反1","12,000","3","244,680","20.39","20.39","20.39","20.39","+","0.01","20.36","50","20.38","1","0.00",
"00708L","元大S&P黃金正2","2,946,000","395","57,159,570","19.40","19.44","19.35","19.44","+","0.33","19.42","65","19.44","290","0.00",
"00709","富邦歐洲","4,000","4","81,800","20.50","20.50","20.40","20.50"," ","0.00","20.46","1","20.55","36","0.00",
"00710B","FH彭博高收益債","1,000","1","19,720","19.72","19.72","19.72","19.72","-","0.03","19.72","3","19.78","20","0.00",
"00711B","FH彭博新興債","0","0","0","--","--","--","--"," ","0.00","20.12","20","20.20","20","0.00",
"00712","FH富時不動產","0","0","0","--","--","--","--"," ","0.00","19.24","22","19.34","20","0.00",
"00713","元大台灣高息低波","218,000","159","6,624,360","30.21","30.45","30.16","30.45","+","0.29","30.24","5","30.47","100","0.00",
"00714","群益道瓊美國地產","205,000","7","4,067,250","20.01","20.01","19.73","19.83","-","0.17","19.80","5","19.93","3","0.00",
"00715L","華頓S&P布蘭特正2","349,000","15","8,078,580","23.12","23.40","23.12","23.31","+","0.33","23.30","80","23.33","177","0.00",
"00716R","華頓S&P布蘭特反1","255,000","13","4,622,490","18.21","18.21","18.10","18.14","-","0.15","18.11","145","18.14","55","0.00",
"00717","富邦美國特別股","503,150","163","9,907,694","19.70","19.75","19.64","19.64","-","0.12","19.63","54","19.66","12","0.00",
"008201","BP上證50","2,400","23","244,245","101.50","102.50","101.50","101.95","+","1.75","101.50","1","101.95","101","0.00",
"01001T","土銀富邦R1","5,000","3","64,500","12.90","12.90","12.90","12.90","+","0.02","12.89","4","12.90","45","0.00",
"01002T","土銀國泰R1","27,000","12","358,710","13.29","13.30","13.28","13.28","+","0.03","13.29","13","13.30","45","0.00",
"01003T","兆豐新光R1","442,000","22","6,414,120","14.51","14.52","14.50","14.51"," ","0.00","14.51","70","14.53","50","0.00",
"01004T","土銀富邦R2","104,000","10","1,183,560","11.38","11.40","11.38","11.40","+","0.03","11.39","1","11.40","58","0.00",
"01007T","兆豐國泰R2","108,000","11","1,437,830","13.31","13.32","13.31","13.32","+","0.01","13.30","50","13.32","55","0.00",
"03001X","元展01","6,000","3","442,500","72.50","74.00","72.50","74.00","X","0.00","74.00","10","75.00","10","107.50",
"03003X","元展03","0","0","0","--","--","--","--"," ","0.00","101.00","10","103.00","10","232.50",
"03004P","鴻海凱基93售05","0","0","0","--","--","--","--"," ","0.00","--","0","0.02","10","0.00",
"03004X","元展04","1,000","1","14,500","14.50","14.50","14.50","14.50","X","0.00","14.40","10","14.50","10","24.70",
"03005X","元展05","22,000","4","351,800","15.90","16.00","15.90","16.00","+","0.20","16.00","30","16.10","3","24.20",
"03006X","元展06","0","0","0","--","--","--","--"," ","0.00","32.90","10","33.00","1","51.00",
"03007X","元展07","0","0","0","--","--","--","--"," ","0.00","16.60","10","16.70","2","20.45",
"03009X","元展09","0","0","0","--","--","--","--"," ","0.00","27.80","10","28.10","10","30.00",
"03010X","元展10","1,000","1","48,400","48.40","48.40","48.40","48.40","-","0.10","48.30","10","48.70","10","95.00",
"03012X","元展12","1,000","1","17,200","17.20","17.20","17.20","17.20","X","0.00","17.10","10","17.40","10","54.20",
"03013X","元展13","0","0","0","--","--","--","--"," ","0.00","8.80","10","8.90","10","14.00",
"03014X","元展14","0","0","0","--","--","--","--"," ","0.00","16.10","10","16.50","15","19.55",
"03015X","元展15","0","0","0","--","--","--","--"," ","0.00","15.60","10","15.80","12","18.90",
"03016X","元展16","0","0","0","--","--","--","--"," ","0.00","3.08","5","3.13","50","10.10",
"03017X","元展17","0","0","0","--","--","--","--"," ","0.00","2.19","50","2.22","50","9.70",
"03018X","元展18","1,000","1","3,400","3.40","3.40","3.40","3.40","X","0.00","3.42","50","3.46","50","16.85",
"03019X","元展19","0","0","0","--","--","--","--"," ","0.00","3.51","50","3.54","50","16.65",
"03020X","元展20","0","0","0","--","--","--","--"," ","0.00","2.95","75","3.01","50","16.55",
"03021X","元展21","11,000","2","129,900","11.80","11.90","11.80","11.90","+","0.20","11.80","1","11.90","9","28.20",
"03022X","富展01","55,000","4","1,386,000","25.20","25.20","25.20","25.20","+","0.30","24.80","10","25.10","10","95.00",
"03023X","富展02","0","0","0","--","--","--","--"," ","0.00","19.30","10","19.60","11","32.55",
"03024X","富展03","0","0","0","--","--","--","--"," ","0.00","57.00","10","57.50","10","232.50",
"03025X","元展22","3,000","1","75,900","25.30","25.30","25.30","25.30","+","0.10","25.30","492","25.40","300","82.60",
"03026X","元展23","4,000","1","22,600","5.65","5.65","5.65","5.65","+","0.10","5.65","30","5.80","30","19.36",
"03027X","元展24","0","0","0","--","--","--","--"," ","0.00","10.00","30","10.20","3","32.55",
"03028X","元展25","30,000","13","828,200","27.80","27.90","27.30","27.60","-","0.30","27.60","10","27.70","12","77.00",
"03029X","元展26","0","0","0","--","--","--","--"," ","0.00","14.30","10","14.50","52","39.55",
"03031X","元展28","6,000","2","24,210","4.03","4.04","4.03","4.04","+","0.18","4.00","10","4.04","10","37.95",
"03032X","元展29","0","0","0","--","--","--","--"," ","0.00","5.65","146","5.75","100","12.45",
"03033X","元展30","1,000","1","11,500","11.50","11.50","11.50","11.50","-","0.40","11.70","10","11.90","10","330.00",
"03035X","元展32","5,000","1","36,500","7.30","7.30","7.30","7.30","+","0.10","7.05","10","7.10","10","26.80",
"03038X","元展35","0","0","0","--","--","--","--"," ","0.00","9.75","10","9.80","10","72.10",
"03039X","元展36","28,000","2","177,200","6.40","6.40","6.30","6.30","-","0.10","6.35","10","6.40","10","278.00",
"03040X","元展37","0","0","0","--","--","--","--"," ","0.00","6.80","10","6.90","10","14.25",
"03041X","元展38","39,000","7","156,430","4.16","4.16","3.90","3.93","-","0.16","3.86","10","4.20","10","141.00",
"03042P","台積電群益91售08","0","0","0","--","--","--","--"," ","0.00","--","0","0.01","926","0.00",
"03042X","元展39","0","0","0","--","--","--","--"," ","0.00","9.25","10","9.30","10","38.30",
"03043X","元展40","0","0","0","--","--","--","--"," ","0.00","10.40","10","10.50","10","50.10",
"03044X","元展41","0","0","0","--","--","--","--"," ","0.00","10.10","10","10.20","10","21.10",
"03046X","元展43","4,000","1","25,000","6.25","6.25","6.25","6.25","+","0.10","6.20","10","6.25","10","61.90",
"03047X","元展44","0","0","0","--","--","--","--"," ","0.00","8.55","10","8.60","10","18.00",
"03048X","元展45","0","0","0","--","--","--","--"," ","0.00","1.56","10","1.58","1","14.00",
"03049X","元展46","1,000","1","4,340","4.34","4.34","4.34","4.34","-","0.12","4.32","100","4.37","100","56.70",
"03050X","元展47","60,000","2","116,700","1.94","1.95","1.94","1.95","-","0.03","1.97","10","1.98","10","32.00",
"03051X","元展48","1,000","1","15,200","15.20","15.20","15.20","15.20","X","0.00","15.40","10","15.50","10","67.20",
"03052X","元展49","2,000","1","37,200","18.60","18.60","18.60","18.60","X","0.00","18.50","10","18.60","10","98.10",
"03053X","元展50","0","0","0","--","--","--","--"," ","0.00","7.10","10","7.20","10","108.00",
"03054X","元展51","0","0","0","--","--","--","--"," ","0.00","12.00","10","12.20","10","73.60",
"03055X","元展52","0","0","0","--","--","--","--"," ","0.00","13.70","100","13.90","100","70.10",
"03058X","元展53","0","0","0","--","--","--","--"," ","0.00","45.90","10","46.20","10","232.50",
"03059X","元展54","0","0","0","--","--","--","--"," ","0.00","15.40","10","15.50","10","23.80",
"03060X","元展55","0","0","0","--","--","--","--"," ","0.00","15.80","10","16.00","10","103.50",
"03061X","元展56","0","0","0","--","--","--","--"," ","0.00","32.90","10","33.30","10","107.50",
"03063X","元展58","10,000","6","415,800","40.10","42.70","39.80","42.00","+","2.40","42.90","10","43.00","1","4,255.00",
"03064X","元展59","20,000","6","218,600","10.70","11.50","10.70","11.50","+","1.50","11.50","10","--","0","17.95",
"03065X","元展60","3,000","1","75,600","25.20","25.20","25.20","25.20"," ","0.00","25.30","10","25.60","10","36.55",
"03066X","元展61","0","0","0","--","--","--","--"," ","0.00","8.65","10","8.75","10","12.35",
"03068X","元展63","0","0","0","--","--","--","--"," ","0.00","67.00","10","67.50","10","320.00",
"03069X","元展64","0","0","0","--","--","--","--"," ","0.00","14.40","10","14.70","10","51.70",
"03071X","元展66","0","0","0","--","--","--","--"," ","0.00","20.50","10","20.70","10","291.50",
"03072X","元展67","0","0","0","--","--","--","--"," ","0.00","7.85","10","7.95","10","73.90",
"03073X","元展68","0","0","0","--","--","--","--"," ","0.00","48.30","10","48.50","10","4,255.00",
"03074X","元展69","0","0","0","--","--","--","--"," ","0.00","9.05","10","9.15","10","14.00",
"03075X","元展70","0","0","0","--","--","--","--"," ","0.00","7.50","10","7.60","10","10.50",
"03076X","元展71","0","0","0","--","--","--","--"," ","0.00","20.30","10","20.60","10","54.20",
"03077X","元展72","0","0","0","--","--","--","--"," ","0.00","13.70","10","13.80","10","58.10",
"03078X","元展73","0","0","0","--","--","--","--"," ","0.00","35.50","10","35.80","10","282.00",
"03080X","元展75","2,000","2","49,500","24.90","24.90","24.60","24.60","-","0.40","25.20","11","25.50","10","198.50",
"03081X","元展76","28,000","1","470,400","16.80","16.80","16.80","16.80","-","0.40","17.20","10","17.30","10","45.75",
"03082X","富展04","0","0","0","--","--","--","--"," ","0.00","10.00","1","10.20","10","13.80",
"03083X","元展77","0","0","0","--","--","--","--"," ","0.00","26.80","10","26.90","10","78.00",
"03085P","美律凱基93售03","0","0","0","--","--","--","--"," ","0.00","--","0","0.02","40","0.00",
"03085X","元展79","0","0","0","--","--","--","--"," ","0.00","10.30","10","10.40","10","24.25",
"03086X","元展80","0","0","0","--","--","--","--"," ","0.00","11.90","10","12.10","10","121.00",
"03087X","元展81","0","0","0","--","--","--","--"," ","0.00","41.70","10","42.10","10","111.50",
"03088X","元展82","0","0","0","--","--","--","--"," ","0.00","22.80","10","23.10","10","70.00",
"03089X","元展83","13,000","2","114,750","8.85","8.85","8.75","8.75"," ","0.00","8.55","10","8.75","10","297.00",
"03090X","元展84","0","0","0","--","--","--","--"," ","0.00","16.10","10","16.30","10","51.70",
"03091X","元展85","0","0","0","--","--","--","--"," ","0.00","17.90","10","18.10","10","51.70",
"03092X","元展86","0","0","0","--","--","--","--"," ","0.00","16.00","100","16.20","10","127.00",
"03093X","永豐金元大61展01","0","0","0","--","--","--","--"," ","0.00","6.45","50","6.50","50","9.70",
"03094X","大立光元大68展08","414,000","16","8,104,500","18.50","19.80","18.50","19.60","+","1.80","19.90","10","20.10","10","4,255.00",
"03095X","佳世達元大6B展02","0","0","0","--","--","--","--"," ","0.00","15.80","50","16.00","50","21.45",
"03096X","大立光元大6C展05","375,000","17","656,190","1.59","1.80","1.59","1.80","+","0.21","1.80","10","1.82","10","4,255.00",
"03138P","台光電元大91售04","0","0","0","--","--","--","--"," ","0.00","--","0","0.01","1,924","0.00",
"03143P","聯茂永豐91售02","0","0","0","--","--","--","--"," ","0.00","--","0","0.01","15","0.00",
"03145P","揚明光國票93售01","0","0","0","--","--","--","--"," ","0.00","--","0","0.01","120","0.00",
"03146P","南電國票93售01","116,000","3","5,800","0.05","0.05","0.05","0.05","-","0.03","0.05","34","0.07","50","0.00",
"03160P","華邦電元大91售02","4,000","1","520","0.13","0.13","0.13","0.13","X","0.00","0.14","25","0.15","10","0.00",
"03162P","華邦電中信96售02","0","0","0","--","--","--","--"," ","0.00","0.27","100","0.28","100","0.00",
"03170P","瑞儀凱基91售01","0","0","0","--","--","--","--"," ","0.00","0.25","108","0.31","5","0.00",
"03188P","滬深2X日盛91售02","0","0","0","--","--","--","--"," ","0.00","0.01","10","0.02","10","0.00",
"03235P","亞光凱基92售02","76,000","6","2,740","0.09","0.09","0.03","0.03","-","0.06","0.03","20","0.05","10","0.00",
"03236P","玉晶光凱基92售01","802,000","9","91,020","0.24","0.24","0.10","0.10","-","0.20","0.07","25","0.10","10","0.00",
"03247P","旺宏元大93售03","743,000","6","402,790","0.53","0.57","0.51","0.53","-","0.08","0.51","100","0.53","100","0.00",
"03249P","大立光元大92售11","0","0","0","--","--","--","--"," ","0.00","--","0","0.02","10","0.00",
"03290B","臺股指元大72熊01","4,421,000","129","3,036,560","0.72","0.73","0.66","0.66","-","0.08","0.65","585","0.66","680","10,710.73",
"03304B","臺股指元大75熊01","2,390,000","122","2,206,570","0.96","0.96","0.89","0.89","-","0.08","0.89","424","0.90","440","10,710.73",
"03305P","鴻海富邦93售03","9,000","2","18,250","2.05","2.05","2.00","2.00","-","0.39","1.96","30","2.49","1","0.00",
"03308B","臺股指凱基72熊01","117,000","2","94,110","0.81","0.81","0.80","0.80","-","0.05","0.78","30","0.79","30","10,710.73",
"03311B","臺股指元大73熊02","150,000","3","171,000","1.16","1.16","1.12","1.12","-","0.06","1.10","545","1.11","495","10,710.73",
"03315B","臺股指元大73熊03","1,000","1","2,720","2.72","2.72","2.72","2.72","-","0.14","2.68","495","2.69","495","10,710.73",
"03317B","臺股指元大74熊03","57,000","3","75,470","1.35","1.35","1.31","1.31","-","0.08","1.29","505","1.30","495","10,710.73",
"03319B","臺股指兆豐71熊08","0","0","0","--","--","--","--"," ","0.00","--","0","--","0","10,710.73",
"03320B","臺股指群益71熊18","1,000","1","2,290","2.29","2.29","2.29","2.29","-","0.09","2.23","499","2.24","499","10,710.73",
"03322B","臺股指元大73熊05","495,000","10","542,860","1.12","1.14","1.09","1.09","-","0.08","1.07","505","1.08","495","10,710.73",
"03324B","臺股指群益72熊21","317,000","26","651,610","2.13","2.13","2.01","2.01","-","0.13","2.00","509","2.01","492","10,710.73",
"03325B","臺股指元大75熊04","103,000","16","330,550","3.25","3.25","3.17","3.17","-","0.14","3.16","505","3.17","493","10,710.73",
"03326B","臺股指凱基73熊10","0","0","0","--","--","--","--"," ","0.00","1.85","30","1.86","30","10,710.73",
"03327B","臺股指凱基73熊11","0","0","0","--","--","--","--"," ","0.00","1.64","30","1.65","30","10,710.73",
"03328B","臺股指凱基73熊12","0","0","0","--","--","--","--"," ","0.00","1.42","30","1.43","30","10,710.73",
"03329B","臺股指群益73熊20","0","0","0","--","--","--","--"," ","0.00","2.57","499","2.58","499","10,710.73",
"03330B","臺股指元大73熊28","30,000","2","101,400","3.38","3.38","3.38","3.38","X","0.00","3.27","495","3.28","495","10,710.73",
"03331B","臺股指元大75熊05","10,000","1","19,000","1.90","1.90","1.90","1.90","-","0.09","1.89","495","1.90","485","10,710.73",
"03332B","臺股指兆豐74熊02","0","0","0","--","--","--","--"," ","0.00","--","0","--","0","10,710.73",
"03333B","臺股指凱基74熊01","0","0","0","--","--","--","--"," ","0.00","2.12","30","2.13","30","10,710.73",
"03334B","臺股指群益74熊21","0","0","0","--","--","--","--"," ","0.00","3.02","499","3.03","499","10,710.73",
"03335B","臺股指群益75熊13","45,000","3","131,000","2.94","2.94","2.90","2.91","-","0.09","2.86","499","2.87","499","10,710.73",
"03336B","臺股指元大76熊04","80,000","3","137,600","1.73","1.73","1.71","1.71","-","0.07","1.68","495","1.69","495","10,710.73",
"03337B","臺股指元富79熊02","0","0","0","--","--","--","--"," ","0.00","2.08","25","2.09","25","10,710.73",
"03338B","臺股指元富76熊06","0","0","0","--","--","--","--"," ","0.00","3.15","25","3.16","25","10,710.73",
"03339B","臺股指元富76熊07","0","0","0","--","--","--","--"," ","0.00","1.57","25","1.58","25","10,710.73",
"03340B","臺股指元大76熊20","0","0","0","--","--","--","--"," ","0.00","1.74","495","1.75","495","10,710.73",
"03341B","臺股指元大79熊03","133,000","3","321,200","2.43","2.43","2.40","2.40","-","0.05","2.37","495","2.38","495","10,710.73",
"03353P","台積電台新92售02","30,000","1","600","0.02","0.02","0.02","0.02","X","0.00","0.02","25","0.03","25","0.00",
"03360P","京元電群益92售01","0","0","0","--","--","--","--"," ","0.00","0.38","10","0.39","10","0.00",
"03372P","華邦電國票93售01","0","0","0","--","--","--","--"," ","0.00","0.04","100","0.05","100","0.00",
"03376P","台積電群益92售09","8,000","1","320","0.04","0.04","0.04","0.04"," ","0.00","0.03","499","0.04","368","0.00",
"03377P","聯發科群益92售01","0","0","0","--","--","--","--"," ","0.00","0.28","10","0.29","10","0.00",
