"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"056662","瑞儀第一72購01","21,000","7","12,100","0.57","0.60","0.57","0.60","-","0.19","0.60","1","0.63","10","70.00",
"05666P","可成元大87售13","100,000","7","78,300","0.80","0.80","0.76","0.76","-","0.05","0.77","100","0.78","100","0.00",
"05667P","潤泰全元大88售01","533,000","7","836,900","1.56","1.58","1.56","1.56","-","0.06","1.56","100","1.58","100","0.00",
"05668P","欣興元大87售01","0","0","0","--","--","--","--"," ","0.00","1.66","30","1.76","30","0.00",
"05669P","隆達元大88售01","18,000","1","28,080","1.56","1.56","1.56","1.56","-","0.04","1.57","30","1.61","30","0.00",
"05670P","台灣50國票89售01","100,000","1","141,000","1.41","1.41","1.41","1.41","+","0.06","1.41","100","--","0","0.00",
"05671P","技嘉國票87售01","130,000","4","281,800","2.16","2.20","2.16","2.20","+","0.09","2.07","499","2.08","100","0.00",
"05672P","華新科國票89售01","0","0","0","--","--","--","--"," ","0.00","1.07","25","1.08","10","0.00",
"05673P","大立光國票88售01","38,000","4","38,060","1.00","1.01","0.98","0.98","-","0.07","0.96","25","0.97","30","0.00",
"05674P","聯詠國票87售01","280,000","5","264,000","0.96","0.96","0.94","0.96","-","0.11","0.96","25","0.97","25","0.00",
"05675P","智邦統一87售01","354,000","14","343,890","1.01","1.01","0.96","0.99","-","0.09","0.98","25","0.99","24","0.00",
"05676P","滬深2X元富87售04","0","0","0","--","--","--","--"," ","0.00","2.14","10","2.17","10","0.00",
"05677P","滬深2X元富87售05","231,000","10","516,240","2.16","2.30","2.14","2.14","-","0.04","2.14","25","2.15","10","0.00",
"056786","電子類元大72購01","0","0","0","--","--","--","--"," ","0.00","0.22","100","0.23","100","0.00",
"05678P","智邦康和87售01","533,000","21","997,950","1.91","1.91","1.74","1.76","-","0.22","1.73","30","1.74","30","0.00",
"05679P","欣興中信87售01","563,000","18","884,430","1.61","1.61","1.44","1.44","-","0.20","1.43","30","1.44","30","0.00",
"05680P","滬深2X群益87售01","509,000","2","631,260","1.25","1.25","1.24","1.24","-","0.02","1.21","30","1.22","30","0.00",
"05681P","滬深2X群益87售02","234,000","4","227,310","1.08","1.08","0.97","0.97","-","0.19","0.95","100","0.96","100","0.00",
"05682P","台積電群益87售01","1,234,000","28","1,123,180","0.89","0.94","0.87","0.92","+","0.02","0.91","100","0.92","100","0.00",
"05683P","華新科群益87售01","0","0","0","--","--","--","--"," ","0.00","1.14","100","1.16","100","0.00",
"05684P","宏達電國票89售01","227,000","6","353,120","1.54","1.57","1.54","1.57","X","0.00","1.47","100","1.48","100","0.00",
"056850","T50反1富邦72購01","0","0","0","--","--","--","--"," ","0.00","--","0","0.05","220","13.13",
"05685P","卜蜂元大87售01","1,000","1","1,370","1.37","1.37","1.37","1.37","-","0.19","1.40","100","1.45","100","0.00",
"05686P","TPK元大87售01","48,000","4","43,830","0.92","0.92","0.91","0.91","-","0.04","0.91","10","0.92","10","0.00",
"05687P","鎧勝元大87售04","0","0","0","--","--","--","--"," ","0.00","1.77","10","1.79","10","0.00",
"05688P","超眾元大87售01","0","0","0","--","--","--","--"," ","0.00","0.90","10","0.92","10","0.00",
"05689P","易華電元大87售02","42,000","3","74,360","1.77","1.78","1.77","1.78","+","0.01","1.63","499","1.67","60","0.00",
"05690P","滬深2X統一87售03","64,000","5","96,980","1.54","1.54","1.44","1.44","-","0.12","1.42","370","1.44","180","0.00",
"05691P","易華電元富87售02","433,000","8","344,160","0.79","0.81","0.79","0.80","+","0.01","0.80","25","0.81","70","0.00",
"05692P","勤美康和87售02","0","0","0","--","--","--","--"," ","0.00","1.31","499","1.32","200","0.00",
"056937","宏全第一72購01","0","0","0","--","--","--","--"," ","0.00","0.54","10","0.55","10","56.70",
"05693P","漢唐康和87售01","0","0","0","--","--","--","--"," ","0.00","4.27","499","4.34","10","0.00",
"05694P","農林康和87售01","24,000","3","116,540","5.60","5.60","4.78","4.78","X","0.00","4.78","479","4.79","100","0.00",
"05695P","強茂國泰87售01","31,000","3","9,810","0.31","0.32","0.31","0.32","X","0.00","0.30","200","0.31","5","0.00",
"05696P","玉晶光國泰88售01","0","0","0","--","--","--","--"," ","0.00","0.92","25","0.93","10","0.00",
"05697P","智易國泰87售01","85,000","7","93,450","1.07","1.12","1.07","1.10","-","0.03","1.10","10","1.12","10","0.00",
"05698P","台灣50富邦87售02","200,000","1","462,000","2.31","2.31","2.31","2.31","-","0.07","2.29","25","2.30","10","0.00",
"05699P","旺宏富邦87售03","484,000","11","85,800","0.17","0.19","0.17","0.18","+","0.01","0.18","10","0.19","10","0.00",
"05700P","欣興中信87售02","1,000","1","4,070","4.07","4.07","4.07","4.07","-","0.43","4.02","30","4.04","10","0.00",
"05701P","GIS群益87售03","23,000","3","41,330","1.80","1.81","1.79","1.79","X","0.00","1.77","30","1.78","10","0.00",
"057029","鴻海第一72購01","73,000","6","6,900","0.10","0.10","0.07","0.10","-","0.02","0.05","30","0.10","9","95.00",
"05702P","易華電群益87售02","0","0","0","--","--","--","--"," ","0.00","3.12","30","3.14","30","0.00",
"05703P","臻鼎永豐87售01","1,000","1","3,800","3.80","3.80","3.80","3.80","-","0.12","3.62","20","3.71","10","0.00",
"057041","T50反1統一72購01","0","0","0","--","--","--","--"," ","0.00","0.01","766","0.09","20","13.13",
"05704P","台郡永豐87售02","0","0","0","--","--","--","--"," ","0.00","1.58","20","1.67","10","0.00",
"05705P","滬深2X凱基87售02","170,000","4","37,700","0.25","0.25","0.22","0.22","-","0.02","0.23","25","0.27","25","0.00",
"05706P","微星凱基87售02","1,792,000","33","1,143,810","0.70","0.70","0.60","0.61","-","0.11","0.60","100","0.61","75","0.00",
"05707P","聯發科凱基87售03","1,198,000","34","1,397,880","1.10","1.21","1.10","1.19","+","0.05","1.19","100","1.20","100","0.00",
"05708P","聯發科凱基87售04","400,000","6","515,250","1.30","1.33","1.27","1.29","-","0.04","1.29","100","1.30","100","0.00",
"05709P","滬深2X國票87售02","109,000","2","114,450","1.05","1.05","1.05","1.05","-","0.01","1.02","100","1.03","100","0.00",
